XvsZ/0,4500/0,1700/0,2900/0,0200/-0,0100/0,5500/0,5175/0,0315/0,0243/0,0235/0,0141/0,6253/1,3065/-9,0200/-5,2925
XvsZ/0,4500/0,1700/0,2900/0,0200/0,0000/0,5900/0,5175/0,0315/0,0243/0,0237/0,0239/0,6625/1,4655/-8,8668/-5,3405
XvsZ/0,4500/0,1600/0,2900/0,0200/0,0000/0,6300/0,5145/0,0220/0,0239/0,0248/0,0237/0,6998/1,3119/-8,8074/-5,2910
XvsZ/0,6500/0,2200/0,2300/0,0100/-0,0200/-0,1800/0,7157/0,0186/0,0073/-0,0016/-0,0013/-0,0918/0,3397/-9,8983/-10,3521
XvsZ/0,6500/0,2200/0,2300/0,0100/-0,0100/0,1700/0,7157/0,0186/0,0073/0,0045/0,0122/0,2581/0,6214/-9,9565/-10,3938
XvsZ/0,6500/0,2200/0,2300/0,0100/-0,0100/0,4500/0,7157/0,0186/0,0073/0,0110/0,0132/0,5300/0,7036/-9,9797/-10,3428
XvsZ/0,6500/0,2200/0,2300/0,0100/0,0000/0,6000/0,7157/0,0186/0,0073/0,0140/0,0229/0,6718/0,8925/-9,8339/-10,2979
XvsX/-0,1200/0,2500/-0,8700/0,2300/0,1100/0,4700/-0,2683/-0,0294/0,0797/0,2422/0,0179/0,0573/-0,3726/0,4874/-2,7187
XvsX/-0,1200/0,2500/-0,8700/0,4700/0,2200/0,3800/-0,2683/-0,0294/0,0797/0,5060/0,0112/0,0018/-0,7827/-3,6143/-6,5120
XvsX/-0,1200/0,2500/-0,8700/0,6500/0,3000/0,2900/-0,2683/-0,0294/0,0797/0,7043/0,0026/-0,0224/-1,2734/-4,7604/-11,4401
XvsX/-0,2100/0,4600/-0,7900/0,2400/0,1300/0,4800/-0,4980/-0,0398/0,0410/0,2601/0,0317/0,0701/-0,1265/3,6614/-6,4895
XvsX/-0,2100/0,4600/-0,7900/0,4800/0,2200/0,3600/-0,4980/-0,0398/0,0410/0,5148/0,0065/-0,0163/-1,1545/-0,2125/-10,3429
XvsX/-0,2100/0,4600/-0,7900/0,6500/0,3000/0,2900/-0,4980/-0,0398/0,0410/0,7043/0,0026/-0,0224/-1,3769/-1,2906/-15,0402
XvsX/-0,3000/0,6500/-0,6400/0,2600/0,1100/0,4200/-0,7096/-0,0573/0,0362/0,2683/0,0042/0,0034/-1,2242/4,8354/-11,6307
XvsX/-0,3000/0,6500/-0,6400/0,4800/0,2100/0,3500/-0,7096/-0,0573/0,0362/0,5102/-0,0026/-0,0294/-1,6677/1,2056/-15,3003
XvsX/-0,3000/0,6500/-0,6400/0,6500/0,3200/0,3000/-0,7096/-0,0573/0,0362/0,7132/0,0207/-0,0095/-1,1700/0,0364/-20,3365
XvsY/-0,1300/0,2600/-0,8600/0,1300/0,2100/-0,3400/-0,2659/-0,0362/0,1110/0,0093/0,2644/0,0340/3,8344/4,9904/-2,7167
XvsY/-0,1300/0,2600/-0,8600/0,2200/0,4300/-0,3600/-0,2659/-0,0362/0,1110/0,0079/0,4982/-0,0344/7,3617/4,5105/-6,3001
XvsY/-0,1300/0,2600/-0,8600/0,3100/0,6100/-0,3300/-0,2659/-0,0362/0,1110/0,0244/0,6950/-0,0716/8,6174/3,6464/-11,0402
XvsY/-0,2100/0,4600/-0,8000/0,1200/0,2200/-0,3000/-0,4824/-0,0442/0,0466/-0,0028/0,2708/0,0748/3,9702/8,8326/-6,0509
XvsY/-0,2100/0,4600/-0,7900/0,2000/0,4400/-0,3200/-0,4825/-0,0445/0,0593/-0,0134/0,5007/0,0067/7,2752/8,6029/-9,7665
XvsY/-0,2100/0,4600/-0,7900/0,2900/0,6300/-0,3000/-0,4825/-0,0445/0,0593/-0,0011/0,7065/-0,0399/8,7056/7,7569/-14,5868
XvsY/-0,3000/0,6500/-0,6400/0,1100/0,2100/-0,3300/-0,6944/-0,0667/0,0525/-0,0088/0,2568/0,0438/3,2558/10,1847/-11,0448
XvsY/-0,3100/0,6500/-0,6400/0,1800/0,4600/-0,2900/-0,6977/-0,0761/0,0523/-0,0389/0,5122/0,0384/6,9417/10,8895/-14,9867
XvsY/-0,3100/0,6400/-0,6400/0,2900/0,6200/-0,3200/-0,6882/-0,0796/0,0616/0,0024/0,6966/-0,0620/7,9055/8,8206/-19,3047
YvsZ/0,0400/0,2300/-0,3500/0,0200/-0,0300/-0,3200/-0,1869/0,0988/0,7430/0,0015/0,0023/0,0761/-1,4773/3,8097/-0,7099
YvsZ/0,0400/0,2300/-0,3500/0,0300/-0,0200/-0,0700/-0,1869/0,0988/0,7430/0,0133/0,0219/0,3251/-1,0236/3,7263/-0,7229
YvsZ/0,0400/0,2300/-0,3500/0,0300/-0,0100/0,1900/-0,1869/0,0988/0,7430/0,0176/0,0357/0,5563/-0,7382/3,9418/-0,8284
YvsZ/0,0400/0,2300/-0,3500/0,0300/0,0000/0,4400/-0,1869/0,0988/0,7430/0,0228/0,0475/0,7549/-0,5572/4,2538/-0,7822
YvsZ/0,1300/0,4700/-0,3100/0,0200/-0,0200/-0,3200/-0,3845/0,2640/0,6758/-0,0024/0,0115/0,0759/-1,9605/8,0177/-4,1624
